type,beta,h,m,q0,q1,p,err,complexity_p1,average,replicon,entropy,computed_m
small M,18535.731086089585,-0.0017963554684800364,1.0e-7,9.999951119502339e-15,9.999951119502342e-15,1.0,9.241967179045164e-7,-3.105475041633869e-16,18535.7310860894,2.9105768287968292e-9,8.528762425457238e-7,9.999999969769279e-8
small M,18662.68814832307,-0.0017967878868332204,1.0e-7,9.999945626191146e-15,9.99994562619116e-15,1.0,9.903496216149861e-7,-3.6267360733495114e-16,18662.688148322886,2.871111701264002e-9,8.410697374292709e-7,9.999999963830881e-8
small M,18789.645210556566,-0.0017973002434617865,1.0e-7,9.99995156070098e-15,9.999951560700965e-15,1.0,9.296953609816607e-7,-2.9570726193436497e-16,18789.64521055638,2.8324438368605604e-9,8.29182641953655e-7,9.999999963936219e-8
small M,18916.602272790053,-0.001797890928929406,1.0e-7,9.999950160652869e-15,9.99995016065287e-15,1.0,9.504586185079339e-7,-3.28119824693998e-16,18916.602272789863,2.7945519045346366e-9,8.172149559004067e-7,9.999999958896233e-8
small M,19043.559335023547,-0.0017985583766322144,1.0e-7,9.999950055506198e-15,9.999950055506182e-15,1.0,9.568700155921185e-7,-3.1377994070878694e-16,19043.559335023358,2.7574152818912333e-9,8.051666794156546e-7,9.999999953868718e-8
small M,19170.516397257034,-0.0017993010614926954,1.0e-7,9.999950995679604e-15,9.999950995679579e-15,1.0,9.517026890109999e-7,-3.202218777355621e-16,19170.516397256844,2.7210140271273914e-9,7.930378124318668e-7,9.999999948852889e-8
small M,19297.473459490524,-0.001800117498566949,1.0e-7,9.999952769836426e-15,9.99995276983643e-15,1.0,9.373048513780162e-7,-3.561178237861091e-16,19297.47345949033,2.6853288522554576e-9,7.8082835494037e-7,9.999999943848323e-8
small M,19424.430521724014,-0.0018010062417331385,1.0e-7,9.999955186709947e-15,9.999955186709934e-15,1.0,9.158017131880406e-7,-3.1448542650962117e-16,19424.43052172382,2.6503410975474435e-9,7.685383070481475e-7,9.999999938854807e-8
small M,19551.387583957505,-0.0018019658824310336,1.0e-7,9.999949238283216e-15,9.999949238283203e-15,1.0,9.872834204990653e-7,-3.1390634714127485e-16,19551.387583957312,2.6160327071371932e-9,7.561676686366157e-7,9.999999933871771e-8
small M,19678.344646190995,-0.0018029950484503461,1.0e-7,9.999952869267419e-15,9.999952869267425e-15,1.0,9.523620870317405e-7,-3.268637674774485e-16,19678.3446461908,2.5823862057208236e-9,7.437164397332931e-7,9.999999928898824e-8
small M,19805.301708424486,-0.0018040924027656654,1.0e-7,9.999956794866286e-15,9.999956794866286e-15,1.0,9.142032893357373e-7,-3.1482818368568354e-16,19805.30170842429,2.5493846762992873e-9,7.31184620376709e-7,9.999999923935471e-8
small M,19932.258770657976,-0.001805256642415924,1.0e-7,9.999952204072486e-15,9.999952204072497e-15,1.0,9.707080949784626e-7,-3.147014596158404e-16,19932.258770657776,2.5170117389101247e-9,7.185722105299605e-7,9.99999991898139e-8
small M,20059.215832891467,-0.0018064864974264082,1.0e-7,9.999956888227122e-15,9.999956888227119e-15,1.0,9.241928516424472e-7,-3.2162514663136647e-16,20059.215832891266,2.485251530298486e-9,7.058792101979076e-7,9.999999914036402e-8
small M,20186.172895124957,-0.0018077807294539462,1.0e-7,9.999953011845082e-15,9.999953011845097e-15,1.0,9.742559963336928e-7,-3.1743525845310367e-16,20186.172895124757,2.45408868448018e-9,6.931056193987132e-7,9.9999999731931e-8
small M,20313.129957358447,-0.0018091381320435454,1.0e-7,9.99995825939784e-15,9.999958259397845e-15,1.0,9.216293602501704e-7,-3.1618258936834317e-16,20313.129957358247,2.4235083141530465e-9,6.802514381183266e-7,9.999999971713216e-8
small M,20440.087019591938,-0.001810557527807334,1.0e-7,9.999954781130291e-15,9.999954781130277e-15,1.0,9.65993083828527e-7,-3.1016276591687626e-16,20440.087019591734,2.3934959929127765e-9,6.673166663644521e-7,9.999999970232766e-8
small M,20567.04408182543,-0.0018120377687235682,1.0e-7,9.999960418751554e-15,9.999960418751532e-15,1.0,9.091039514431303e-7,-3.3999546484251973e-16,20567.044081825225,2.364037738236003e-9,6.543013040964714e-7,9.999999968751887e-8
small M,20694.00114405892,-0.001813577734942816,1.0e-7,9.999957392190146e-15,9.999957392190135e-15,1.0,9.485202640232229e-7,-3.781066932177123e-16,20694.00114405871,2.335119995191341e-9,6.41205351341956e-7,9.999999967270549e-8
